filename,original_name,source,dir_name,file_size,width,height,query,source_url,filter_status,filter_reason,side_view_score,preselect_notes
car_side_profile__000002.jpeg,000002.jpeg,raw,car_side_profile,844750,4912,2760,car side profile,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.78; CROP_edge_touch
car_side_profile__000005.jpg,000005.jpg,raw,car_side_profile,57388,1050,700,toyota camry side view,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.50; CROP_edge_touch
car_side_profile__000006.jpg,000006.jpg,raw,car_side_profile,63252,1094,700,suv side profile studio shot,,passed,,0.75,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.56; CROP_edge_touch
car_side_profile__000009.jpg,000009.jpg,raw,car_side_profile,65693,1214,700,suv side view press release,,passed,,0.9,query_has_side_view; dir_has_side_view; good_aspect:1.73
car_side_profile__000010.jpg,000010.jpg,raw,car_side_profile,40427,1328,700,suv side profile studio shot,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.90
car_side_profile__000013.jpg,000013.jpg,raw,car_side_profile,62381,1360,700,sedan side view white background,,passed,,0.65,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.94; GRAYSCALE_uc128:254; CROP_edge_touch
car_side_profile__000015.jpg,000015.jpg,raw,car_side_profile,38320,1070,700,suv side view press release,,passed,,0.5,query_has_side_view; dir_has_side_view; good_aspect:1.53; ILLUST_uc128:431
car_side_profile__000016.jpeg,000016.jpeg,raw,car_side_profile,1363315,5806,3871,car side profile,,passed,,0.3,query_has_side_view; dir_has_side_view; good_aspect:1.50; VERY_DARK_bg:24; CROP_edge_touch
car_side_profile__000018.jpeg,000018.jpeg,raw,car_side_profile,1813844,6000,3376,car side profile,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.78; CROP_edge_touch
car_side_profile__000019.jpeg,000019.jpeg,raw,car_side_profile,3643567,5908,3939,car side profile,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.50; CROP_edge_touch
car_side_profile__000020.jpeg,000020.jpeg,raw,car_side_profile,1370424,5806,3871,car side profile,,passed,,0.55,query_has_side_view; dir_has_side_view; good_aspect:1.50; VERY_DARK_bg:8
car_side_profile_isolated__000012.jpg,000012.jpg,raw,car_side_profile_isolated,57688,1214,700,car side profile isolated,,rejected,duplicate_of:car_side_profile__000009.jpg,,
car_side_profile_isolated__000021.jpg,000021.jpg,raw,car_side_profile_isolated,46605,1000,700,car side profile isolated,,passed,,0.85,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.43; CROP_edge_touch
car_side_profile_isolated__000027.jpg,000027.jpg,raw,car_side_profile_isolated,31244,800,603,car side profile isolated,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.33
car_side_view__000001.jpg,000001.jpg,raw,car_side_view,57772,1300,844,suv side view press release,,passed,,0.9,query_has_side_view; dir_has_side_view; good_aspect:1.54
car_side_view__000003.jpg,000003.jpg,raw,car_side_view,117915,1000,554,sedan side view white background,,passed,,0.75,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.81; CROP_edge_touch
car_side_view__000004.jpg,000004.jpg,raw,car_side_view,191546,1280,854,sedan side profile studio shot,,passed,,0.75,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.50; CROP_edge_touch
car_side_view__000005.jpg,000005.jpg,raw,car_side_view,50835,1023,729,toyota camry side view,,passed,,0.9,query_has_side_view; dir_has_side_view; good_aspect:1.40
car_side_view__000006.jpg,000006.jpg,raw,car_side_view,1406446,2560,1600,suv side profile studio shot,,passed,,0.75,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.60; CROP_edge_touch
car_side_view__000007.jpg,000007.jpg,raw,car_side_view,41199,1283,700,suv side view press release,,passed,,0.5,query_has_side_view; dir_has_side_view; good_aspect:1.83; ILLUST_uc128:339
car_side_view__000008.jpg,000008.jpg,raw,car_side_view,453896,2560,1600,suv side view configurator,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.60; CROP_edge_touch
car_side_view__000009.jpg,000009.jpg,raw,car_side_view,166349,1920,1277,suv side view press release,,passed,,0.25,query_has_side_view; dir_has_side_view; good_aspect:1.50; ILLUST_uc128:1220; CROP_edge_touch
car_side_view__000010.jpg,000010.jpg,raw,car_side_view,66750,1600,1023,suv side profile studio shot,,passed,,0.6,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.56; ILLUST_uc128:1381
car_side_view__000012.jpg,000012.jpg,raw,car_side_view,404305,1500,1101,car side profile isolated,,passed,,0.75,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.36; CROP_edge_touch
car_side_view__000013.jpg,000013.jpg,raw,car_side_view,1623771,1500,1101,sedan side view white background,,passed,,0.75,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.36; CROP_edge_touch
car_side_view__000014.jpeg,000014.jpeg,raw,car_side_view,2157081,6000,4000,car side view,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.50; CROP_edge_touch
car_side_view__000015.jpg,000015.jpg,raw,car_side_view,84768,1920,698,suv side view press release,,passed,,0.8,query_has_side_view; dir_has_side_view
car_side_view__000016.jpg,000016.jpg,raw,car_side_view,53631,1300,643,car side view,,passed,,0.35,query_has_side_view; dir_has_side_view; good_aspect:2.02; STREET_bg:42_dr:0.78; CROP_edge_touch
car_side_view__000017.jpg,000017.jpg,raw,car_side_view,50421,1024,768,car side view white background,,passed,,0.6,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.33; ILLUST_uc128:1620
car_side_view__000018.jpg,000018.jpg,raw,car_side_view,92709,1300,956,car side view showroom,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.36; CROP_edge_touch
car_side_view__000019.jpg,000019.jpg,raw,car_side_view,101501,1600,1000,car side view,,passed,,0.25,query_has_side_view; dir_has_side_view; good_aspect:1.60; ILLUST_uc128:1986; CROP_edge_touch
car_side_view_press_photo__000034.jpg,000034.jpg,raw,car_side_view_press_photo,63641,1742,980,sedan side view configurator,,passed,,0.5,query_has_side_view; dir_has_side_view; good_aspect:1.78; ILLUST_uc128:1965
car_side_view_press_photo__000045.jpg,000045.jpg,raw,car_side_view_press_photo,50980,800,493,suv side view press release,,passed,,0.9,query_has_side_view; dir_has_side_view; good_aspect:1.62
car_side_view_showroom__000018.jpg,000018.jpg,raw,car_side_view_showroom,59824,800,534,car side view showroom,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.50; CROP_edge_touch
car_side_view_white_background__000017.jpg,000017.jpg,raw,car_side_view_white_background,87019,1920,798,car side view white background,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:2.41
car_side_view_white_background__000021.jpg,000021.jpg,raw,car_side_view_white_background,186780,2613,1960,car side profile isolated,,rejected,duplicate_of:car_side_view__000017.jpg,,
car_side_view_white_background__000024.jpg,000024.jpg,raw,car_side_view_white_background,87742,1859,980,car side view white background,,rejected,duplicate_of:car_side_profile__000010.jpg,,
car_side_view_white_background__000040.jpg,000040.jpg,raw,car_side_view_white_background,24945,800,411,sedan side view white background,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.95
car_side_view_white_background__000042.jpg,000042.jpg,raw,car_side_view_white_background,84768,1920,698,suv side view white background,,rejected,duplicate_of:car_side_view__000015.jpg,,
